id,type,make,model,default_model_images,aa
1,Truck Cover,Cadillac,Escalade EXT,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Cadillac Escalade EXT
2,Truck Cover,Chevy,Avalanche,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Avalanche
3,Truck Cover,Chevy,Colorado,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Colorado
4,Truck Cover,Chevy,Silverado 1500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Silverado 1500
5,Truck Cover,Chevy,Silverado 1500HD,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Silverado 1500HD
6,Truck Cover,Chevy,Silverado 2500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Silverado 2500
7,Truck Cover,Chevy,Silverado 2500HD,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Silverado 2500HD
8,Truck Cover,Chevy,Silverado 3500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Silverado 3500
9,Truck Cover,Chevy,Silverado 3500HD,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Chevy Silverado 3500HD
10,Truck Cover,Dodge,Dakota,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Dodge Dakota
11,Truck Cover,Dodge,Ram,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Dodge Ram
12,Truck Cover,Dodge,Ram 1500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Dodge Ram 1500
13,Truck Cover,Dodge,Ram 2500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Dodge Ram 2500
14,Truck Cover,Dodge,Ram 3500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Dodge Ram 3500
15,Truck Cover,Ford,Explorer Sport Trac,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford Explorer Sport Trac
16,Truck Cover,Ford,F-100,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-100
17,Truck Cover,Ford,F-150,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-150
18,Truck Cover,Ford,F-150 Lightning,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-150 Lightning
19,Truck Cover,Ford,F-150 Raptor,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-150 Raptor
20,Truck Cover,Ford,F-150 SVT Raptor,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-150 SVT Raptor
21,Truck Cover,Ford,F-250,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-250
22,Truck Cover,Ford,F-250 Super Duty,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-250 Super Duty
23,Truck Cover,Ford,F-350,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-350
24,Truck Cover,Ford,F-350 Super Duty,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-350 Super Duty
25,Truck Cover,Ford,F-450 Super Duty,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F-450 Super Duty
26,Truck Cover,Ford,F1,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F1
27,Truck Cover,Ford,F2,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F2
28,Truck Cover,Ford,F3,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford F3
29,Truck Cover,Ford,Maverick,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford Maverick
30,Truck Cover,Ford,Ranger,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford Ranger
31,Truck Cover,Ford,Ranger Raptor,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Ford Ranger Raptor
32,Truck Cover,GMC,Canyon,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",GMC Canyon
33,Truck Cover,GMC,Sierra 1500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",GMC Sierra 1500
34,Truck Cover,GMC,Sierra 1500HD,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",GMC Sierra 1500HD
35,Truck Cover,GMC,Sierra 2500HD,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",GMC Sierra 2500HD
36,Truck Cover,GMC,Sierra 3500HD,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",GMC Sierra 3500HD
37,Truck Cover,GWM,Cannon L 4x4,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",GWM Cannon L 4x4
38,Truck Cover,GWM,Ute Cannon-X 4x4,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",GWM Ute Cannon-X 4x4
39,Truck Cover,Holden,Colorado SportsCat,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Holden Colorado SportsCat
40,Truck Cover,Honda,Ridgeline,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Honda Ridgeline
41,Truck Cover,Hyundai,Santa Cruz,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Hyundai Santa Cruz
42,Truck Cover,Jeep,Gladiator,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Jeep Gladiator
43,Truck Cover,LDV,T60,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",LDV T60
44,Truck Cover,Nissan,Frontier,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Nissan Frontier
45,Truck Cover,Nissan,Titan,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Nissan Titan
46,Truck Cover,RAM,1500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 1500
47,Truck Cover,RAM,2500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 2500
48,Truck Cover,RAM,3500,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 3500
49,Truck Cover,RAM,1500 Classic,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 1500 Classic
50,Truck Cover,RAM,1500 TRX,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 1500 TRX
51,Truck Cover,RAM,1501 Classic,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 1501 Classic
52,Truck Cover,RAM,1502 Classic,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 1502 Classic
53,Truck Cover,RAM,1503 Classic,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 1503 Classic
54,Truck Cover,RAM,1504 Classic,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",RAM 1504 Classic
55,Truck Cover,Toyota,Tacoma,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Toyota Tacoma
56,Truck Cover,Toyota,Tundra,"http://www.coverland.com/pub/media/category-images-new/01-str-bkgr-truck.webp,http://www.coverland.com/pub/media/category-images-new/truck-premium-gr-1to-nmr.png,http://www.coverland.com/pub/media/category-images-new/truck-standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/truck-standard-gr-1to-nmr.webp",Toyota Tundra
